"所属渠道","新会员","新会员消费数","新会员消费比例","会员消费数"
"N/A","9723","1630","16.76%","6264"
"*双井乐成中心店","6","1","16.67%","14"
"*团结湖天客隆店","1","0","0.00%","2"
"*大钟寺现代商城店","1","0","0.00%","1"
"*天津万达店","1","0","0.00%","0"
"*天津塘沽永旺店","2","0","0.00%","0"
"*姚家园泛海国际店","3","1","33.33%","17"
"*崇文门新活馆店","5","2","40.00%","8"
"*新街口星街坊店","6","2","33.33%","12"
"*昌平妇幼保健院店","2","2","100.00%","5"
"*昌平西关店","1","0","0.00%","0"
"*清河泰鑫源店","4","1","25.00%","6"
"*百子湾大成国际中心店","4","2","50.00%","10"
"*草桥时代风帆店","2","0","0.00%","4"
"*西三旗新都店","1","0","0.00%","2"
"*门头沟双峪环岛店","1","1","100.00%","2"
"APP","4467","157","3.51%","516"
"万丰路和谐广场店","38","1","2.63%","13"
"三元桥国展天虹百货店","6","0","0.00%","0"
"上地环岛店","18","3","16.67%","44"
"东坝金隅嘉品MALL店","58","2","3.45%","20"
"东直门银座店","8","0","0.00%","20"
"东高地万源路店","30","2","6.67%","44"
"丰体时代店","16","1","6.25%","31"
"丰台万达广场店","26","0","0.00%","9"
"丰台区久隆百货青塔店","5","1","20.00%","10"
"丰台永旺梦乐城店","6","0","0.00%","23"
"丽家宝贝武汉荟聚中心","7","0","0.00%","0"
"亚运村北苑家园店","21","4","19.05%","18"
"亦庄创意生活广场店","65","1","1.54%","59"
"亦庄星岛店","7","1","14.29%","20"
"京东丽家宝贝店","784","780","99.49%","1226"
"京东可欧可优店","25","24","96.00%","40"
"亿客隆万丰购物中心店","21","3","14.29%","19"
"公益西桥乐天玛特店","19","2","10.53%","19"
"凯德MALL大峡谷店","5","0","0.00%","0"
"凯德MALL太阳宫店","11","4","36.36%","27"
"凯德MALL翠微路店","19","2","10.53%","22"
"十里河永辉超市鑫豪天地店","12","0","0.00%","8"
"华润五彩城店","17","2","11.76%","52"
"华联万柳购物中心店","3","0","0.00%","11"
"双井九龙汇合生创展店","11","0","0.00%","0"
"双井富力城店","10","1","10.00%","21"
"唐山勒泰购物广场店","31","0","0.00%","0"
"唐山振华购物中心店","11","0","0.00%","0"
"四季青通汇路店","7","4","57.14%","25"
"回龙观华联商厦店","8","1","12.50%","26"
"回龙观时代广场店","184","1","0.54%","28"
"大兴宜家北京荟聚中心店","29","4","13.79%","119"
"大兴清城店","16","2","12.50%","64"
"大兴龙湖天街店","1","0","0.00%","16"
"大红门银泰百货店","54","1","1.85%","25"
"天津南开鲁能城购物中心店","11","0","0.00%","0"
"天津塘沽万达广场店","14","0","0.00%","0"
"天津塘沽远洋未来汇店","10","0","0.00%","0"
"天津大悦城购物中心店","27","0","0.00%","0"
"天津天津湾店","16","0","0.00%","0"
"天津富力广场店","13","0","0.00%","0"
"天津永旺梦乐城梅江店","1","0","0.00%","3"
"天津津南永旺梦乐城店","16","0","0.00%","0"
"天猫丽家宝贝店","366","364","99.45%","702"
"天猫可欧可优店","48","47","97.92%","60"
"天通苑国泰店","3","1","33.33%","6"
"天通苑龙德广场店","16","2","12.50%","48"
"学清路圣熙8号购物中心店","16","1","6.25%","13"
"安贞华联店","72","0","0.00%","9"
"官微","2048","101","4.93%","1239"
"官网","83","22","26.51%","348"
"宣武门富卓店","20","2","10.00%","33"
"密云万象汇店","13","1","7.69%","2"
"密云燕赛奥莱店","9","0","0.00%","10"
"崇文门国瑞城店","5","0","0.00%","12"
"常营华联店","6","1","16.67%","19"
"怀柔万达店","16","0","0.00%","0"
"怀柔新悦广场店","18","2","11.11%","4"
"悦秀城购物中心店","4","0","0.00%","8"
"新奥购物中心店","16","4","25.00%","36"
"新街口新华百货店","2","0","0.00%","19"
"方庄成寿寺店","9","1","11.11%","30"
"方庄购物中心店","3","0","0.00%","1"
"旧宫住总万科广场店","33","5","15.15%","21"
"昌平区温都水城文化广场店","18","1","5.56%","6"
"昌平悦荟万科店","18","3","16.67%","43"
"昌平永旺梦乐城店","16","2","12.50%","30"
"月坛银岛天客隆店","1","0","0.00%","7"
"望京华联店","7","0","0.00%","15"
"望京方恒购物中心店","6","1","16.67%","13"
"朝北大悦城店","148","2","1.35%","62"
"朝阳门悠唐购物中心店","14","0","0.00%","0"
"木樨园合生广场店","1","0","0.00%","0"
"槐房万达广场店","9","1","11.11%","10"
"武汉金桥永旺梦乐城店","32","0","0.00%","1"
"海淀妇幼保健院店","22","2","9.09%","54"
"燕郊天洋城店","9","1","11.11%","10"
"燕郊永旺梦乐城店","3","0","0.00%","6"
"燕郊神威北路店","2","2","100.00%","16"
"牡丹园花园东路店","9","0","0.00%","41"
"王府井哈姆雷斯店","1","0","0.00%","0"
"甘露园尚街购物中心店","11","2","18.18%","23"
"田村路京粮广场店","7","1","14.29%","8"
"看丹资和信店","12","3","25.00%","32"
"石景山喜隆多新国际购物中心店","7","1","14.29%","28"
"石景山盛景国际店","4","3","75.00%","11"
"石景山长城大厦店","23","3","13.04%","31"
"良乡良辰百货店","7","0","0.00%","1"
"良乡西潞园店","28","2","7.14%","29"
"花乡奥莱店","16","0","0.00%","0"
"草桥上品折扣店","8","1","12.50%","14"
"蓝色港湾店","29","6","20.69%","71"
"西直门枫蓝国际中心商场店","4","0","0.00%","16"
"西翠路上品折扣店","25","0","0.00%","8"
"西铁营万达广场店","5","0","0.00%","0"
"通州京妮儿童汇店","11","1","9.09%","7"
"通州梨园店","26","1","3.85%","62"
"通州罗斯福店","6","0","0.00%","26"
"通州苏荷时代店","19","6","31.58%","32"
"金源燕莎店","30","3","10.00%","28"
"长阳中粮万科半岛广场店","20","2","10.00%","63"
"长阳华冠天地店","17","1","5.88%","32"
"长阳绿地缤纷城店","17","4","23.53%","25"
"顺义中粮祥云小镇店","1","0","0.00%","11"
"顺义华联金街购物中心店","12","2","16.67%","31"
"顺义石门隆华奥莱店","3","1","33.33%","13"
"马连道中家纺店","27","0","0.00%","21"
"高米店绿地广场店","22","2","9.09%","46"
